172.27.0.1 - - [01/May/2021:12:39:30 +0000] "GET /csvn/static/css/bootstrap-responsive-2.3.1.css HTTP/1.1" 200 22108 
172.27.0.1 - - [01/May/2021:12:39:30 +0000] "GET /csvn/static/css/bootstrap-2.3.1.css HTTP/1.1" 200 127307 
172.27.0.1 - - [01/May/2021:12:39:30 +0000] "GET /csvn/static/css/svnedge-3.3.0.css HTTP/1.1" 200 5334 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/js/application-3.3.0.js HTTP/1.1" 200 7793 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/js/jquery-tablesorter.js HTTP/1.1" 200 17343 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/js/bootstrap-2.3.1.js HTTP/1.1" 200 61752 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/js/bootstrap-image-gallery.min.js HTTP/1.1" 200 5259 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/images/masthead/logo.png HTTP/1.1" 200 4086 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/js/load-image.min.js HTTP/1.1" 200 1277 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/images/masthead/small-logo.png HTTP/1.1" 200 5574 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/images/icons/icon_warning_sml.gif HTTP/1.1" 200 273 
172.27.0.1 - - [01/May/2021:12:39:31 +0000] "GET /csvn/static/images/spinner-gray-bg.gif%20alt= HTTP/1.1" 404 149 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/log/configure HTTP/1.1" 200 13301 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/css/svnedge-3.3.0.css HTTP/1.1" 200 5334 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/js/application-3.3.0.js HTTP/1.1" 200 7793 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/css/bootstrap-responsive-2.3.1.css HTTP/1.1" 200 22108 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/css/bootstrap-2.3.1.css HTTP/1.1" 200 127307 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/js/jquery-tablesorter.js HTTP/1.1" 200 17343 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/js/bootstrap-2.3.1.js HTTP/1.1" 200 61752 
172.27.0.1 - - [01/May/2021:12:39:32 +0000] "GET /csvn/static/images/masthead/logo.png HTTP/1.1" 200 4086 
